,ENGLISH,GERMAN
145251,tom says that recently he isnt able to get enough sleep,tom sagt dass er in letzter zeit keinen ausreichenden schlaf finden konne
145252,tom started to unfold the piece of paper mary handed him,tom fing an ein stuck papier das maria ihm gegeben hatte auseinanderzufalten
145253,tom suggested to mary that she apologize and make amends,tom machte maria den vorschlag sich zu entschuldigen und wiedergutmachung zu leisten
145254,tom thinks that personality is more important than looks,tom halt den charakter fur wichtiger als das aussehen
145255,tom tiptoed into the bedroom to avoid waking up his wife,tom schlich auf zehenspitzen ins schlafzimmer um seine frau nicht zu wecken
145256,tom told mary everything he knew about what had happened,tom sagte maria alles was er uber den vorfall wusste
145257,tom told mary not to blame herself for what had happened,tom sagte maria dass sie sich nicht die schuld an dem geschehenen geben solle
145258,tom told me that he doesnt have any brothers or sisters,tom sagte mir er habe keine geschwister
145259,tom took a picture of his old camera with his new camera,tom hat seine alte kamera mit seiner neuen fotografiert
145260,tom took a picture of his old camera with his new camera,tom hat mit seiner neuen kamera ein bild seiner alten aufgenommen
145261,tom took off his wedding ring and threw it into the pond,tom zog seinen ehering vom finger und warf ihn in den teich
145262,tom took off his wedding ring and threw it into the pond,tom nahm seinen ehering ab und warf ihn in den teich
145263,tom took the bottle from mary and poured himself a drink,tom nahm maria die flasche aus der hand und go sich ein glas ein
145264,tom tried to remember the doctors name but he couldnt,tom versuchte sich an den namen des arztes zu erinnern aber es gelang ihm nicht
145265,tom used a fire extinguisher to try and put the fire out,tom versuchte das feuer mit einem feuerloscher zu loschen
145266,tom usually eats anything that mary puts in front of him,tom isst fur gewohnlich alles was maria ihm vorsetzt
145267,tom waited for mary to sit and then sat down next to her,tom wartete bis maria sich gesetzt hatte und setzte sich dann neben sie
145268,tom walked into the kitchen carrying a bag of groceries,tom trug eine tute mit lebensmitteln in die kuche
145269,tom was determined to finish the job before he went home,tom war entschlossen die aufgabe zu beenden bevor er nach hause ging
145270,tom was glad when mary offered to help him in the garden,tom war froh als mary anbot ihm im garten zu helfen
145271,tom was going to lie but he ended up spilling the beans,tom wollte lugen aber schlielich hat er alles ausgeplaudert
145272,tom was the first one to recognize marys musical talent,tom war der erste der marias begabung fur musik erkannte
145273,tom was the first paramedic on the scene of the accident,tom war der erste sanitater am unfallort
145274,tom wasnt allowed to visit his father who was in prison,tom hatte nicht die erlaubnis seinen vater der im gefangnis sa zu besuchen
145275,tom went to visit his grandmother at the retirement home,tom fuhr hin um seine gromutter im seniorenheim zu besuchen
145276,tom will be looking after the children while im at work,tom wird sich um die kinder kummern wahrend ich arbeite
145277,tom will likely be discharged from the hospital tomorrow,tom wird wahrscheinlich morgen aus dem krankenhaus entlassen werden
145278,tom woke mary up at and she wasnt happy about that,tom weckte maria um uhr und sie war davon nicht begeistert
145279,tom woke mary up at and she wasnt happy about that,tom weckte maria um sechs uhr dreiig und sie war davon nicht begeistert
145280,tom woke mary up at and she wasnt happy about that,tom weckte maria um halb sieben wovon sie nicht begeistert war
145281,tom would like nothing more than to tell mary everything,tom mochte nichts mehr als maria alles zu sagen
145282,toms car wouldnt start and he had to get a new battery,toms wagen sprang nicht an er musste eine neue batterie besorgen
145283,toms doctor advised him to cut down on his sugar intake,toms arzt gab ihm den rat seinen zuckerkonsum einzuschranken
145284,toms handwriting isnt very good but its easy to read,toms handschrift ist nicht sehr gut aber sie ist leicht zu lesen
145285,toms leg had gone to sleep so he was unable to stand up,toms bein war eingeschlafen und so konnte er nicht aufstehen
145286,toms mother chased tom as he ran naked around the lobby,toms mutter jagte tom der nackt durch die eingangshalle rannte
145287,tsunamis swept through rice fields and flooded the towns,tsunamis fegten durch reisfelder und uberfluteten die stadte
145288,unfortunately i didnt get the chance to see the castle,leider hatte ich keine gelegenheit das schloss zu sehen
145289,unwittingly he told her exactly what she wanted to know,ohne es zu merken sagte er ihr genau das was sie wissen wollte
145290,we are all looking forward to seeing you and your family,wir freuen uns alle darauf dich und deine familie zu sehen
145291,we are currently experiencing heavy loads on our servers,unsere dienstrechner sind derzeit schwer ausgelastet
145292,we cant keep pretending that tom doesnt have a problem,wir konnen nicht weiterhin so tun als hatte tom kein problem
145293,we cant prove tom is lying but were pretty sure he is,wir konnen nicht beweisen dass tom lugt aber wir sind uns dessen ziemlich sicher
145294,we cant prove tom is lying but were pretty sure he is,wir konnen es zwar nicht beweisen aber wir sind uns ziemlich sicher dass tom lugt
145295,we dont even know if theyre planning to help us or not,wir wissen nicht einmal ob sie uberhaupt die absicht haben uns zu helfen
145296,we have something very important that we have to discuss,es gibt da etwas sehr wichtiges uber das wir sprechen mussen
145297,we have something very important that we need to discuss,es gibt da etwas sehr wichtiges uber das wir sprechen mussen
145298,we have to do something to stop tom from hurting himself,wir mussen etwas tun um tom davon abzuhalten sich zu verletzen
145299,we have to figure out a way to keep tom from seeing mary,wir mussen uns etwas ausdenken um tom davon abzuhalten maria zu sehen
145300,we have to keep trying until we find a method that works,wir mussen uns so lange weiterbemuhen bis wir eine methode finden die funktioniert
145301,we have to tell tom before he hears it from someone else,wir mussen es tom sagen bevor er es von jemand anderem erfahrt
145302,we havent yet been informed of the committees decision,wir sind uber die entscheidung der kommission noch nicht informiert worden
145303,we hope to finish planting the field before the sun sets,wir hoffen dass wir mit dem bepflanzen des feldes fertig werden bevor die sonne untergeht
145304,we listened carefully in order not to miss a single word,wir haben aufmerksam zugehort um nicht ein einziges wort zu verpassen
145305,we listened carefully in order not to miss a single word,wir horten aufmerksam zu auf dass uns nicht ein einziges wort entgehe
145306,we often hear it said that the japanese are good workers,wir horen oft dass gesagt wird die japaner seien gute arbeiter
145307,we should start getting christmas gifts for the children,wir sollten anfangen weihnachtsgeschenke fur die kinder zu besorgen
145308,we took advantage of the sunny weather to go on a picnic,wir nutzten das sonnige wetter aus um picknicken zu gehen
145309,we went to court when they refused to pay for the damage,wir zogen vor gericht als sie sich weigerten den schaden zu bezahlen
145310,wed better get ready early because the train wont wait,wir sollten uns besser fruh fertig machen denn der zug wartet nicht
145311,were still waiting for the wedding cake to be delivered,wir warten noch darauf dass die hochzeitstorte geliefert wird
145312,were supposed to try to solve our problems by ourselves,es wird erwartet dass wir versuchen unsere probleme selbst zu losen
145313,what are you going to do with your share of the treasure,was hast du mit deinem teil des schatzes vor
145314,what are you going to do with your share of the treasure,was wirst du mit deinem teil des schatzes anfangen
145315,what changes the world is communication not information,was die welt verandert ist kommunikation nicht information
145316,what changes the world is communication not information,nicht information sondern kommunikation ist es was die welt verandert
145317,what changes the world is communication not information,nicht information ist es was die welt verandert sondern kommunikation
145318,what difference does it make if people are looking at us,was macht es schon aus wenn uns die leute ansehen
145319,what has become of the book i put here a few minutes ago,was geschah mit dem buch das ich vor ein paar minuten hier hergelegt habe
145320,what have you done with my pen it was here a minute ago,was hast du mit meinem stift gemacht er war vor einer minute hier
145321,what language do you use when you talk with your parents,welche sprache benutzt du wenn du mit deinen eltern sprichst
145322,what makes you think that toms interested in helping us,was veranlasst dich zu glauben tom sei daran interessiert uns zu helfen
145323,what makes you think that toms interested in helping us,was macht dich glauben dass tom daran gelegen ist uns zu helfen
145324,what makes you think that toms interested in helping us,was gibt dir den glauben ein tom konnte interesse daran haben uns zu helfen
145325,whats important now is that you listen to what tom says,es ist jetzt wichtig dass du auf das horst was tom sagt
145326,whats the difference between a hedgehog and a porcupine,was ist der unterschied zwischen einem igel und einem stachelschwein
145327,whatever faults he may have meanness is not one of them,was immer er fur fehler haben mag geiz gehort nicht dazu
145328,when i didnt have any money i only had a rug for a bed,als ich kein geld hatte hatte ich nur einen teppich als bett
145329,when i got out of prison my exwife and i got remarried,als ich aus dem gefangnis kam haben meine exfrau und ich wieder geheiratet
145330,when she returned to her room the diamond ring was gone,als sie in ihr zimmer zuruckkehrte war der diamantring weg
145331,when they got to the station the train had already left,als sie den bahnhof erreichten war der zug schon abgefahren
145332,when you get to be my age youll understand what i mean,wenn du erst einmal in meinem alter bist wirst du verstehen was ich meine
145333,whether or not we play an encore depends on the audience,ob wir eine zugabe spielen oder nicht hangt vom publikum ab
145334,whether you like it or not you have to do your homework,ob es dir nun gefallt oder nicht du musst deine hausaufgaben machen
145335,why didnt you tell me you were planning to go to boston,warum hast du mir von deinem vorhaben nach boston zu fahren nichts gesagt
145336,why dont you both come out here and look for yourselves,kommt doch beide her und seht selbst
145337,why dont you do something useful and get me some coffee,warum machst du dich nicht nutzlich und holst mir einen kaffee
145338,why dont you just call tom and tell him you cant do it,warum rufst du nicht einfach tom an und sagst ihm dass du auerstande dazu bist
145339,with the exception of him nobody else came to the party,auer ihm kam sonst niemand zur party
145340,with this much money i could buy a very decent used car,mit so viel geld konnte ich einen sehr ordentlichen gebrauchtwagen kaufen
145341,you can come and see me whenever its convenient for you,du kannst kommen und mich sehen wann immer es dir passt
145342,you dont have to make a different dish for every person,man muss nicht fur jede person ein anderes gericht vorbereiten
145343,you dont have to say anything if you dont feel like it,du musst gar nichts sagen wenn dir nicht danach ist
145344,you dont have to say anything if you dont feel like it,du musst uberhaupt nichts sagen wenn dir nicht danach ist
145345,you dont have to say anything if you dont feel like it,du musst uberhaupt nichts sagen wenn du dich nicht danach fuhlst
145346,you dont need to worry about that kind of thing anymore,du brauchst dir wegen solcher dinge keine sorgen mehr zu machen
145347,you have changed so much that i can hardly recognize you,du hast dich so sehr verandert dass ich dich fast nicht wiedererkenne
145348,you have no right to interfere in other peoples affairs,du hast kein recht dich in die angelegenheiten anderer leute einzumischen
145349,you have wanted to go there for a long time havent you,schon lange wolltest du dorthin gehen nicht wahr
145350,you have wanted to go there for a long time havent you,du willst schon seit langem dahin oder
145351,you may stay here if you like as long as you keep quiet,solange du dich ruhig verhaltst kannst du wenn du mochtest hierbleiben
145352,you may stay here if you like as long as you keep quiet,du darfst hierbleiben wenn du mochtest solange du ruhig bleibst
145353,you must decide whether you will go by train or by plane,sie mussen sich entscheiden ob sie mit dem zug oder mit dem flugzeug reisen
145354,you must take into account the fact that he is too young,du musst die tatsache berucksichtigen dass er zu jung ist
145355,you need to put a question mark at the end of a question,am ende einer frage muss man ein fragezeichen setzen
145356,you need to start taking responsibility for your actions,du musst anfangen verantwortung fur deine taten zu ubernehmen
145357,you need to take your shoes off before entering the room,du musst die schuhe ausziehen bevor du dieses zimmer betrittst
145358,you need to take your shoes off before entering the room,du musst die schuhe ausziehen bevor du das zimmer betrittst
145359,you should be frank and they will treat you as a friend,sie sollten aufrichtig sein und sie werden sie als freund behandeln
145360,you should be frank and they will treat you as a friend,du solltest aufrichtig sein und sie werden dich als freund behandeln
145361,you should have done it earlier it cannot be helped now,du hattest es fruher tun sollen jetzt ist nichts mehr zu machen
145362,you should not lose your patience when dealing with kids,man sollte im umgang mit kindern nicht seine geduld verlieren
145363,you should rewrite this sentence it does not make sense,du solltest diesen satz neu schreiben er ergibt keinen sinn
145364,you shouldnt talk about your friends behind their backs,man sollte nicht uber seine freunde hinter deren rucken reden
145365,youre a good student but you still have a lot to learn,du bist ein guter schuler aber du musst noch viel lernen
145366,youre a good student but you still have a lot to learn,sie sind ein guter student aber sie mussen noch eine menge lernen
145367,youre the only person who ever calls me after pm,du bist der einzige mensch der mich jemals nach zehn uhr abends anruft
145368,thirty dollars is a lot for that small room he thought,dreiig dollar sind viel geld fur das kleine zimmer dachte er
145369,what would you like to buy i would like to buy a dog,was mochten sie kaufen ich mochte einen hund kaufen
145370,who is the guy in the picture i dont know who he is,wer ist der typ auf dem foto ich wei nicht wer das ist
145371,a ball hit the back of my head while i was playing soccer,beim fuballspielen hat mich ein ball am hinterkopf getroffen
145372,a bird can glide through the air without moving its wings,ein vogel kann durch die lufte gleiten ohne seine flugel zu bewegen
145373,a nuclear war will bring about the destruction of mankind,ein atomkrieg wird die vernichtung der menschheit mit sich bringen
145374,a parasol is used during the summertime to shade the face,in der sommerzeit verwendet man einen sonnenschirm um dem gesicht schatten zu spenden
145375,a wind advisory is in effect until the storm front passes,bis zum abzug der sturmfront gilt eine windwarnung
145376,according to the bible god created the world in six days,laut der bibel brauchte gott sechs tage um die welt zu erschaffen
145377,after lunch today our plan is to take a walk in the park,wir haben vor heute nach dem mittagessen im park spazieren zu gehen
145378,after running up the hill i was completely out of breath,nachdem ich den hugel hinaufgerannt war war ich vollig auer atem
145379,airplanes enable people to travel great distances rapidly,flugzeuge ermoglichen den menschen groe entfernungen schnell zuruckzulegen
145380,all communication with that airplane was suddenly cut off,jede verbindung mit jenem flugzeug war plotzlich wie abgeschnitten
145381,all those who take up the sword shall perish by the sword,so jemand mit dem schwert totet der muss mit dem schwert getotet werden
145382,an hour has sixty minutes and a minute has sixty seconds,eine stunde hat sechzig minuten und eine minute hat sechzig sekunden
145383,and to make matters worse he met with a traffic accident,und zu allem ubel hatte er einen verkehrsunfall
145384,antonio guzman blanco came to power in venezuela in,antonio guzman blanco kam in venezuela an die macht
145385,are you going to play tricks on me again you naughty boy,willst du mir wieder einen streich spielen du unartiger bengel
145386,as far as i am concerned i have no objection to the plan,was mich betrifft ich habe keine einwande gegen den plan
145387,as is often the case with her she didnt show up on time,wie so oft war sie nicht punktlich da
145388,be careful not to drive the wrong way on a oneway street,passen sie auf dass sie in einer einbahnstrae nicht in die falsche richtung fahren
145389,benjamin franklin was an american politician and inventor,benjamin franklin war ein amerikanischer politiker und erfinder
145390,blondes earn more than women with any other hair color,blondinen verdienen mehr als frauen mit anderen haarfarben
145391,can you help me to translate these sentences into chinese,kannst du mir helfen diese satze ins chinesische zu ubersetzen
145392,can you help me to translate these sentences into chinese,konnen sie mir helfen diese satze ins chinesische zu ubersetzen
145393,clerks with sticky fingers wont keep their jobs for long,angestellte die lange finger machen werden ihre jobs nicht lange behalten
145394,compared with the old model this is far easier to handle,verglichen mit dem alten modell ist dieses viel leichter zu bedienen
145395,democracy is an idea that goes back to the ancient greeks,demokratie ist eine idee die auf die alten griechen zuruckgeht
145396,did you know there was another tom jackson at this school,wusstest du dass es an dieser schule noch einen anderen tom johannsen gibt
145397,do not be shy your pronunciation is more or less correct,sei nicht schuchtern deine aussprache ist mehr oder weniger korrekt
145398,do not be shy your pronunciation is more or less correct,seien sie nicht schuchtern ihre aussprache ist mehr oder weniger korrekt
145399,do you know how to start a fire using just sticks of wood,weit du wie man ein feuer macht nur mit holzstecken
145400,do you let your dog run free or do you walk him on a lead,lasst du deinen hund frei laufen oder fuhrst du ihn an der leine aus
145401,do you really need to ask the question to know the answer,musst du wirklich die frage stellen um die antwort zu erfahren
145402,do you think that eating breakfast every day is important,denkt ihr dass es wichtig ist jeden tag zu fruhstucken
145403,do you usually eat more than five slices of pizza a month,isst du gewohnlich mehr als funf pizzaschnitten pro monat
145404,dont forget to attach your photo to the application form,vergessen sie nicht ihr foto dem antragsformular beizufugen
145405,dont forget to turn off the gas before leaving the house,vergiss nicht das gas abzustellen bevor du aus dem haus gehst
145406,dont forget to turn off the gas before leaving the house,vergessen sie nicht den gashahn zu schlieen bevor sie das haus verlassen
145407,dont forget to turn off the light before you go to sleep,vergesst nicht das licht auszuschalten bevor ihr schlafen geht
145408,drinking alcohol during pregnancy can cause birth defects,alkoholkonsum wahrend der schwangerschaft kann zu geburtsfehlern fuhren
145409,even though i was sitting in the sun i still felt chilly,mich frostelte noch immer wenngleich ich in der sonne sa
145410,examinations interfere with the real purpose of education,prufungen behindern den wahren zweck von bildung
145411,except for tom the family was all watching tv in silence,mit ausnahme toms sah die ganze familie schweigend fern
145412,experience is the name many people give to their mistakes,erfahrung ist der name den viele fur ihre fehler verwenden
145413,first of all im very worried about my daughters health,ich mache mir vor allem um die gesundheit meiner tochter groe sorgen
145414,happiness isnt the destination happiness is the journey,gluck ist nicht das ziel gluck ist der weg
145415,has it occurred to you that tom might not want to be here,ist dir je in den sinn gekommen dass tom vielleicht gar nicht hier sein will
145416,have you ever seen tom and mary in the same room together,hast du tom und maria je zusammen im selben raum gesehen
145417,having done my homework i could finally watch television,nachdem ich meine hausaufgaben erledigt hatte konnte ich endlich fernsehen
145418,he claimed that the enormous property was at his disposal,er behauptete dass der riesige grundbesitz ihm zur freien verfugung stehe
145419,he disappeared into a dark corner at the back of the shop,er verschwand in einer dunklen ecke hinten im laden
145420,he felt for his matches and found them in his back pocket,er tastete nach seinen streichholzern und fand sie in seiner gesatasche
145421,he had to undergo an operation immediately after his fall,er musste sich gleich nach seinem sturz einer operation unterziehen
145422,he has two daughters both of whom are married to doctors,er hat zwei tochter die beide mit arzten verheiratet sind
145423,he is french by birth but he is now a citizen of the usa,er ist von hause aus franzose aber jetzt ist er ein usburger
145424,he is a man of his word so if he said hed help he will,er ist ein mann seines wortes wenn er also sagte dass er hulfe wird ers tun
145425,he is interested in anything that has to do with religion,er ist an allem interessiert was mit religion zu tun hat
145426,he is numbered among the greatest scientists in the world,er wird zu den groten wissenschaftlern der welt gezahlt
145427,he picked up a hat and put it on to see how it would look,er nahm einen hut in die hand und setzte ihn sich auf um zu sehen wie er damit aussah
145428,he says he must get rid of the mice that are in the attic,er sagt er muss die mause auf dem dachboden loswerden
145429,he was so confused that his answer did not make any sense,er war so verwirrt dass seine antwort keinen sinn ergab
145430,he was wearing black trousers and a beautiful white shirt,er trug eine schwarze hose und eine wunderschones weies hemd
145431,hes in debt to the bank because he bought that big house,er ist bei der bank verschuldet weil er dieses groe haus gekauft hat
145432,hes racking his brains about how to deal with the matter,er zerbricht sich den kopf daruber wie er mit der angelegenheit umgehen soll
145433,her neighbor will care for the children while she is away,ihr nachbar wird sich wahrend ihrer abwesenheit um die kinder kummern
145434,here is her letter asking us to take care of her only son,hier ist der brief in dem sie uns bittet dass wir uns ihres einzigen sohnes annehmen mogen
145435,his ideas are too radical to be acceptable to most people,seine ideen sind den meisten leuten zu radikal
145436,his unique perspective helped shed light on the situation,seine einzigartige sichtweise half die situation zu erhellen
145437,his unique perspective helped shed light on the situation,seine einzigartige sichtweise half licht auf die situation zu werfen
145438,his unique perspective helped shed light on the situation,seine einzigartige sichtweise half aufschluss uber die situation zu geben
145439,honesty does not always pay such is the way of the world,ehrlichkeit zahlt sich nicht immer aus so ist das auf der welt
145440,how long does it take to go from here to the hilton hotel,wie lange dauert es von hier zu fu bis zum hiltonhotel
145441,how many audiobooks do you have on your mobile player,wie viele horbucher hast du auf deinem tragbaren
145442,how many times a week do you go shopping at a supermarket,wie oft gehst du pro woche im supermarkt einkaufen
145443,how much beer people drink largely depends on the weather,wie viel bier man trinkt hangt meistens vom wetter ab
145444,how old were you when you fell in love for the first time,wie alt warst du als du dich zum ersten mal verliebt hast
145445,how old were you when you fell in love for the first time,wie alt waren sie als sie sich das erste mal verliebten
145446,hundreds of people have starved to death in that district,hunderte von menschen verhungerten in diesem bezirk
145447,i am saving money in order to buy a new personal computer,ich spare geld um mir einen neuen computer zu kaufen
145448,i ask not for a lighter burden but for broader shoulders,ich verlange keine leichtere burde sondern breitere schultern
145449,i asked tom if he wanted something to eat and he said yes,ich fragte tom ob er etwas essen wolle und er bejahte dies
145450,i beg your pardon could you repeat what youve just said,entschuldigen sie konnten sie noch einmal wiederholen was sie gerade gesagt haben
145451,i buy my silver from a man who has a mine on his property,ich kaufe das silber von einem mann der eine mine besitzt
145452,i can spot you from a distance with your long white hair,mit deinem langen weien haar kann ich dich schon von weitem sehen
145453,i cant afford to go to the onsen this weekend im broke,ich kann es mir nicht leisten dieses wochenende zum onsen zu fahren ich bin pleite
145454,i cant find tom he hasnt already gone and left has he,ich kann tom nicht finden er ist doch noch nicht fort oder
145455,i cant help but wonder if tom will be at school tomorrow,ich kann nicht umhin mich zu fragen ob tom morgen zur schule kommen wirst
145456,i dont care how poor you are i want to marry you anyway,es ist mir egal wie arm du bist ich will dich trotzdem heiraten
145457,i dont care where we eat dinner its entirely up to you,mir ist egal wo wir essen das uberlasse ich ganz dir
145458,i dont know how things were a hundred or fifty years ago,ich wei nicht wie es vor hundert oder funfzig jahren war
145459,i dont know the introduction but i can sing the refrain,die einleitung ist mir unbekannt aber ich kann den kehrvers singen
145460,i dont know what tom did to the tv but its working now,ich wei ja nicht was tom mit dem fernseher angestellt hat aber der lauft jetzt
145461,i dont really remember all that much about what happened,ich kann mich gar nicht so genau daran erinnern was passiert ist
145462,i dont think i can apply for a job anywhere im too old,ich glaube nicht dass ich mich irgendwo bewerben kann ich bin zu alt
145463,i dont think a native speaker would ever say it that way,ich glaube nicht dass sich ein muttersprachler je so ausdrucken wurde
145464,i dont understand why you hang out with tom all the time,ich verstehe nicht warum du dich die ganze zeit mit tom herumtreibst
145465,i dropped by the bookstore and bought an interesting book,ich kam bei der buchhandlung vorbei und kaufte ein interessantes buch
145466,i especially want to thank our recordbreaking sales team,ich mochte besonders unserem rekordverdachtigen verkaufsteam danken
145467,i figured it wouldnt hurt to wait for a few more minutes,ich dachte mir dass es nicht wehtun wurde ein paar minuten mehr zu warten
145468,i forgive you because you didnt know what you were doing,ich verzeihe dir weil du nicht wusstest was du tatest
145469,i forgot to turn off the television before going to sleep,ich verga den fernseher vor dem schlafengehen auszuschalten
145470,i had a huge breakfast so im not really very hungry now,ich habe jede menge gefruhstuckt daher habe ich jetzt keinen allzu groen hunger
145471,i had difficulty convincing her of the dangers of smoking,ich hatte schwierigkeiten sie von den gefahren des rauchens zu uberzeugen
145472,i had no idea there were so many people in the other room,ich hatte keine ahnung dass nebenan so viele leute waren
145473,i had trouble with the new car it was difficult to steer,ich hatte probleme mit dem neuen auto es lie sich schwer steuern
145474,i had trouble with the new car it was difficult to steer,ich hatte probleme mit dem neuen wagen er lie sich schwer steuern
145475,i have a friend whose father is the captain of a big ship,ich habe einen freund dessen vater kapitan eines groen schiffes ist
145476,i have a lot of flowers some are red and some are yellow,ich habe viele blumen einige sind rot und einige gelb
145477,i have a nasty feeling something awful is going to happen,mir schwant nichts gutes
145478,i have a nasty feeling something awful is going to happen,mir schwant boses
145479,i have a nasty feeling something awful is going to happen,ich habe das ungute gefuhl dass etwas schlimmes passieren wird
145480,i have five hens and get about three eggs a day from them,ich habe funf hennen die mir jeden tag um die drei eier legen
145481,i have so many clothes i dont know what to wear tomorrow,ich habe so viele klamotten ich wei nicht was ich morgen anziehen soll
145482,i havent yet had time to see about a hotel for the night,ich hatte noch nicht einmal die zeit dafur mich nach einem hotel fur die nacht umzusehen
145483,i knew he was angry but i didnt think he was that angry,ich wusste dass er wutend war aber ich hatte nicht gedacht dass er derart wutend ware
145484,i laid down for a short nap and fell asleep for two hours,ich legte mich hin um ein kleines nickerchen zu machen und schlief zwei stunden
145485,i learned today that tom doesnt like me do you know why,ich habe heute erfahren dass tom mich nicht mag weit du warum das so ist
145486,i lived in tokyo a few years ago but now i live in kyoto,ich lebte vor ein paar jahren in tokyo jetzt lebe ich aber in kyoto
145487,i looked up all the words i didnt know in the dictionary,ich schlug alle worter die ich nicht kannte im worterbuch nach
145488,i love you and i dont want anything bad to happen to you,ich liebe dich und ich will nicht dass dir irgendetwas passiert
145489,i never thought itd be this hard to build a picnic table,ich hatte nicht gedacht dass es so schwer ist einen picknicktisch zu bauen
145490,i really didnt want to play tag with tom and his friends,ich hatte absolut keine lust mit tom und seinen freunden fangen zu spielen
145491,i really dont think that this is of any importance to us,ich glaube wirklich nicht dass das fur uns eine rolle spielt
145492,i remember being on a ship when i was only five years old,ich erinnere mich auf einem schiff gewesen zu sein als ich erst funf jahre zahlte
145493,i suggested to tom the possibility that he work with mary,ich machte tom den vorschlag dass er ja mit maria zusammenarbeiten konne
145494,i think beethoven is the greatest composer who ever lived,ich glaube beethoven ist der grote komponist der je gelebt hat
145495,i think i would have heard gunshots if there had been any,ich glaube dass ich schusse wohl gehort hatte wenn es welche gegeben hatte
145496,i think i wouldve heard the door open if tom had come in,ich denke ich hatte die tur aufgehen horen wenn tom hereingekommen ware
145497,i think tom was just in the wrong place at the wrong time,ich denke dass tom einfach nur zur falschen zeit am falschen orte war
145498,i think hes making a big mistake by turning down the job,ich denke dass er einen groen fehler macht wenn er die arbeit ablehnt
145499,i think we need to find out who tom plans to give that to,ich finde wir mussen herausfinden wem tom das zu geben beabsichtigt
145500,i think we need to find out why tom wasnt here yesterday,ich finde wir mussen herausfinden warum tom gestern nicht hier war
145501,i think youll regret it if you sell your fathers guitar,ich denke dass du es bereuen wirst wenn du die gitarre deines vaters verkaufst
145502,i thought i told you i didnt want you to do that anymore,ich habe dir doch gesagt dass du das nicht mehr sollst
145503,i thought tom could handle the job if i gave him a chance,ich dachte tom wurde damit fertig wenn ich ihm nur eine chance gabe
145504,i trained my dog to bring me the newspaper in the morning,ich habe meinem hund beigebracht mir morgens die zeitung zu bringen
145505,i tried to give her some money but she wouldnt take any,ich wollte ihr geld geben aber sie nahm keines an
145506,i understand that you and tom are planning to get married,ich habe gehort dass tom und du heiraten wollt
145507,i used to think it didnt really matter what i fed my dog,ich war der meinung dass es nichts ausmachte was ich meinem hund zu fressen gabe
145508,i want to deal with this letter before i do anything else,ich will mich um diesen brief kummern ehe ich etwas anderes tu
145509,i want to find out the source of this irresponsible rumor,ich mochte die quelle dieses unverantwortlichen geruchts herausfinden
145510,i want to get a satisfactory explanation for your conduct,ich mochte eine befriedigende erklarung fur dein verhalten haben
145511,i was caught in a shower on my way home yesterday evening,gestern abend wurde ich auf meinem weg nach hause von einem regenschauer erwischt
145512,i was in favor of going and they were in favor of staying,ich war dafur zu gehen und sie waren dafur zu bleiben
145513,i was told that you could teach me how to sharpen a knife,mir wurde gesagt du konntest mir beibringen wie man ein messer scharft
145514,i will not be able to pick up shigemi at the kindergarten,ich werde shigemi nicht vom kindergarten abholen konnen
145515,i wont unload the car because thats somebody elses job,ich werde nicht das auto ausladen weil das die aufgabe von jemand anderem ist
145516,i wonder if he can lend me his guitar during the vacation,ich frage mich ob er mir seine gitarre in den ferien borgen konnte
145517,i would have written a longer letter if id had more time,ich hatte einen langeren brief geschrieben wenn ich mehr zeit gehabt hatte
145518,i would rather stay at home than go to the movies tonight,ich wurde heute abend lieber zu hause bleiben und nicht ins kino gehen
145519,i would very much appreciate receiving a copy of the book,ich wurde es sehr begruen wenn ich ein exemplar des buches bekommen konnte
145520,i wouldnt dream of going on a picnic on such a rainy day,es fiele mir nicht im traum ein an einem solch regnerischen tag picknicken zu gehen
145521,id be much obliged if you could give me a lift into town,ich ware ihnen sehr dankbar wenn sie mich in die stadt mitnehmen konnten
145522,id be much obliged if you could give me a lift into town,ich ware dir sehr dankbar wenn du mich in die stadt mitnehmen konntest
145523,id completely forgotten that tom used to be a vegetarian,ich hatte glatt vergessen dass tom immer vegetarier war
145524,id like to have a single room with a bath for two nights,ich hatte gerne ein einzelzimmer mit bad fur zwei nachte
145525,id like to make an appointment for my threeyearold son,ich hatte gerne einen termin fur meinen dreijahrigen sohn
145526,ill eat my hat if my candidate does not win the election,ich fresse einen besen wenn mein kandidat die wahl nicht gewinnt
145527,ill expect you tomorrow unless you let me know otherwise,ich erwarte dich morgen wenn ich nichts anderes von dir hore
145528,ill explain the reason in the fifth chapter of this book,den grund werde ich im funften kapitel dieses buches erlautern
145529,ill have to take over my fathers business in the future,ich werde einmal das geschaft meines vaters ubernehmen mussen
145530,ill overlook it this time but dont let it happen again,dieses mal drucke ich ein auge zu aber sieh zu dass es nicht noch einmal passiert
145531,ill overlook it this time but dont let it happen again,ich lasse es dieses mal durchgehen aber sieh zu dass es nicht wieder vorkommt
145532,im all thumbs when it comes to origami or paper folding,ich habe beim origami zwei linke hande
145533,im pretty good at math but calculus is way over my head,ich bin ganz gut in mathe aber infinitesimalrechnung ist mir zu hoch
145534,im pretty sure toms willing to do what needs to be done,tom ist ganz bestimmt bereit alles notige zu tun
145535,im really sorry but i seem to have misplaced your scarf,es tut mir aufrichtig leid aber ich glaube ich habe ihren schal verlegt
145536,im sorry i am late but theres been a lot of work to do,meine verspatung tut mir leid aber es gab viel zu tun
